会社名
坪内自動車
有限会社　黒川鈑金工業所
日髙自動車株式会社
Ｎ－ＭＡＧＩＣ
Ｃａｒ　Ｐｒｏｄｕｃｅ　Ｒｏｌｌｉｎ／（株）ローリン
有限会社　オートボデーエム
（有）ミツボシ鈑金塗装
ＳＯＬＩＤ
（株）池田自動車
城鈑金塗装工業所
鈑金塗装　ＨＩＲＯ〔青木自動車〕
有限会社　法貴鈑金工業
カーコンビニ倶楽部　ヤマサキ丸亀店
金尾板金塗装
（有）伸和自動車商会
フォルクスワーゲン・アウディ専門店　オートパルス
【鈑金・修理】ＮＣＳ　ナガセカーサービス
中古車探偵　ａｄｖａｎｃｅ
（有）シーツープロジェクト　シルビア＆ＦＲスポーツ専門店
ＯＮＥ　ＡＵＴＯ
Ｔ－ＧＡＲＡＧＥ　（株）小山内自動車商会
ＴＥＣＨＮＯ　ＢＯＤＹ／（株）ＡＩＴＥＮ
【ボディガラスコーティング・車磨き専門店】株式会社トゥルーハンズ
Ｃａｒ　Ｓｈｏｐ　Ｌｉｂｅｒｔｙ
有限会社ウエニシオート
有限会社　高橋自動車
Ｃａｒ　Ｗｏｒｋ　カーワーク
株式会社倉重自動車
株式会社　住野鈑金
カーサービス　コーフィー
（有）井南鈑金
Ｃａｒ　ｇａｒｄｅｎ　Ｂｌｏｏｍ
株式会社　ヴェルフィー
有限会社　デンドー自動車
〔鈑金・塗装のことなら〕武川焼付塗装工場（有）
有限会社　太陽工業所
オートサービス赤坂
アスク千葉北店　業販センター　（株）ＢＡＬＬＡＤＥ
Ｈｉ　Ｌｉｆｅ
Ｃａｒメイト
ユニオンガレージ　株式会社　ユニオン
カーコンビニ倶楽部　（有）アクタスたまい
株式会社　スリースターズ
ノヴィルカーベイス株式会社　津田サービス工場
（有）シミズオート
寺島自動車
デルタサービス
株式会社　エィ・ティ・エスバロン
株式会社　ライフワン
ガレージくるま屋
有限会社　林自動車商会
株式会社　カーファクトリーＵＫ
ＲＩＮ　ＣＡＲＳ
菊地自動車
アップル京都店
グローイングアップ
株式会社　対比地自動車
有限会社　光栄自動車
有限会社　久土地自動車工業
藤田自動車　本社
（株）長村自動車
Ａｕｔｏ　Ｓｅｒｖｉｃｅ　ワンポイント
〔鈑金・塗装〕くるま屋ランド
【ジョイカル内灘店】株式会社　内灘オートサービス
株式会社　島田板金塗装工業
ブルーレーベルオートエンジニアリング（株）
Ｉｎｄｅｘ
有限会社　竹田自動車
竹村モータース
Ｂｏｓｃｈ　Ｃａｒ　Ｓｅｒｖｉｃｅ　ＥＰ－ＡＵＴＯ株式会社
（有）西山自動車整備工場
カービューティープロ　Ｃ・Ｒ・Ｃ
辻井モータース
株式会社　カーサービスシンワ
カーコンビニ倶楽部　増泉店
ＫＳ　ｍｏｄｅ　ＷＯＲＫＳ
（株）アスター
ガレージ　オク
ガレージ　ＳＡＦＥ
輸入車専門　ＲＯＭ
株式会社　アクセルオン
日本車輛株式会社
Ｂｒａｖｅ（ブレイブ）
ワークスショップミナミ
ボディーワークスケイプ
（株）揖斐自動車修理工場
カーコンビニ倶楽部　Ｍ．Ａ．Ｗｏｒｋｓ取手店
有限会社　新幸オートサービス
ｃｒａｆｔ　ｂａｓｅ　ＲＰＧ
カークラフトＭＡＸ
ＣＩＴＹ　ＡＵＴＯ　ＣＬＵＢ　（有）シティオートクラブ
（有）松沢車体工業
（有）武蔵野自動車
オートパル伊那店
有限会社　寿鈑金塗装工業
（有）高島モータース
（有）カーショップ忠ボーイ
国井自動車
株式会社オールコートミツトモ
藤本自動車
山西ロータース
Ｔｏｔａｌ　ＲＥｐａｉｒ　ＢＥＡＲ’Ｓ（ベェアーズ）
ａｔＬａｓｔ
クリーンオート（有）
株式会社　Ｎｍａｎｏｓ
フリースタイル
有限会社ワイズオートＪＰ
ブルーナＷＥＳＴ（ウェスト店）（株）エスコート
（有）加藤自動車工場
ハナダ自動車工業
車販・車検のイグチ　狭山店
Ｃａｒ　Ｍａｋｅ　Ｆｕｋｕｎｉｓｈｉ
ＶＥＨＩＣＬＥ　ＧＡＲＡＧＥ　ＳＳ１　ビーグルガレージＳＳ１
ＨＩＴＯＭＩ　ＡＵＴＯ
ユーオート
有限会社　ヤマゲン
徳島綜合自動車　有限会社
Ｇａｒａｇｅ　Ｌｉｅｎ　ガレージリアン
アバンティー
ＲＯＤＥＯ　ＤＲＩＶＥ
Ｋ・ｓｔｙｌｅ
ＣＡＲ　ＶＩＬＬＡＧＥ
ステップ
カーファクトリーホビーズ
株式会社　山崎ボデーワークス
カーファクトリーＫＯＴＥＴＵ
ＯＨ　ＭＹ　ＣＡＲ　ジーエーティー（株）
オータスカーズ
株式会社ケーエヌガレージ
株式会社　山幸
ｍａｒｔｅｌ　マーテル
株式会社エヌクオリティ
（株）琉新
三木自動車販売株式会社
Ｒｉｖｅｒｉｚｅ　Ａｕｔｏ　Ｔｒａｄｉｎｇ
株式会社　テクノガレージ
株式会社マシーン
ＡＬＢＡ　　アルバ
ネクスト　日向岡店
ガレージＭ湘南
ジャル仙台　有限会社
竹春自動車（株）
クラフト　プロ
船橋カーファクトリー
カープロデュースユマユリ中城店
株式会社ｃｌｏｖｅｒ　ＧＥＡＲ
Ｇａｒａｇｅ－Ｅｉｇｈｔ
株式会社　Ｄｒｅａｍ　Ｃｏｍｐａｎｙ
ＧＡＲＡＧＥ松山
中妻自動車工業　藤波店
ＫＳ　Ｆａｃｔｏｒｙ
株式会社Ｔｈｅ　Ｅａｒｔｈ　Ｆａｃｔｏｒｙ
太洋自動車工業（株）
有限会社　シシド
株式会社　ハセガワ
車の整形外科　（有）オートボディーワタナベ
株式会社　Ｍ’ｓ　ｃｏｍｐａｎｙ
（株）藤代自動車鈑金
中村鈑金
有限会社　コロンブス
くるまの鈑金塗装屋　ｂｙ（有）コーワコーポレーション
株式会社　Ｃａｒ　Ｄｏｇ　Ｍｏｕｎｄ
ホットジャックガレージ鳥栖工場　株式会社Ｈ．Ｊ．Ｇ　
Ａｕｔｏ　Ｌａｂｏ　ＳＫＹ
株式会社　大東工業
ｇｌｏｗ　ａｒｔ
大府自動車工業（株）
ファクトリー　グレース
ｃａｒｓｈｏｐ　Ｆｏｒｙｏｕ＜カーショップ・フォーユー＞
Ｐｌｅａｓｕｒｅ　Ａｕｔｏ　Ｓａｌｅｓ
Ｂｏｓｃｈ　Ｃａｒ　Ｓｅｒｖｉｃｅ　Ｃａｒ’ｓ（カーズ）
株式会社　川永スズキ販売
ＴＯＴＡＬ　ＣＡＲ　ＳＥＲＶＩＣＥ　ＳＡＫＡＭＯＴＯ
東和田中自動車工業株式会社
株式会社川上自工
（株）日本自動車
井上カーサービス
カーコンビニ倶楽部　ピットワン中川店
株式会社　未来自動車
株式会社　エアフォルク
（有）パブリックオート
有限会社増満自動車
ボデーショップ　オオイワ
カーコンビニ倶楽部　ＭＹＰＩＴ海老名上郷店　「車検の速太郎」海老名店
亀岡自動車
Ｂｏｄｙ　Ｒｅｐａｉｒ　Ｋ
株式会社Ｎプロジェクト
新車市場　吉野五條店
株式会社　アクティブ
有限会社　カーフェイス
Ｒｚ－Ｆａｃｔｏｒｙ（ラズファクトリー）
オノセモータース
喜多自動車
ａｕｔｏｃｉｎｑタイヤぱーく
出張施工　愛車のエアコン掃除屋さん
ジャッキオートモービル
Ｅ－ＳＫＹ．ａｕｔｏ
ＪＯＨＮＮＹ’Ｓ　ＡＵＴＯ　ＳＥＲＶＩＣＥ
有限会社　農協自動車
板金塗装専門店　オートリメイク仙台
佐々木オート
大矢モータース
カーショップファイン
グランドプラン
（有）ホワイトオート
有限会社　ボデーショップ　ピオ
有限会社　こじま自動車工業所
奈良青木自動車
株式会社　Ｋ－１　ＧＡＲＡＧＥ
Ｐａｉｎｔ　Ｈｏｕｓｅ　Ｒｉｎｇ　鈑金　塗装　事故修理　キズへこみ直し専門店
ＡＵＴＯ　ＣＯＬＯＲＳ　ＣＨＩＢＡ
ＣＡＲ　ＳＵＰＰＯＲＴ　ＦＡＣＴＯＲＹ　ＺＥＲＯ
株式会社　トータス
(株)ENEOSウイング Dr.Drive名阪中瀬インターＴＳ
ＦＬＡＴ
株式会社くさやま
ガレージ　ノート
エイチオート
ガレージ・プレアデス
（有）カードック
リビルドガレージ
〇△□自動車　（ヒフミ自動車）
（株）エスアールシーオート
自社ローン　名古屋　マイカー横綱くん【自社ローン取り扱い店】
株式会社ＫＭＪ　Ｍｏｔｏｒｓ　本店
Ｙ－Ｓ　ＡＸＥＬ
ＳＳ　ＡＵＴＯ
Ｒ－ＳＴＹＬＥ　（株）アールスタイル
旭自動車
株式会社Ｒ＆Ｎ
有限会社フェニックスオート
勝自動車販売（マサルジドウシャハンバイ）
有限会社　イケダオート
Ｌｕｘ　Ｌａｕｒｅｌ　ラックスローレル
梶原モータース
（株）岡本自動車工業
ｆａｂｒｉｃａ　ファブリカ岡崎インター店
ＧａｒａｇｅＢｏｏ／（株）カネヨ
ドライブ　Ｐｉｔ　泉佐野店
（株）シンユウ　徳島本店
板金屋
（株）粕谷自動車工業
有限会社　川上自動車工業
（株）リペアサービス
株式会社東日本宇佐美　１６号野田中央
（株）丸伊自動車鈑金
ドックスペース株式会社
（株）島田モータース
ＦＩＶＥ　ＳＴＡＲ　ファイブスター
金子自動車鈑金塗装株式会社
株式会社　リプロエース
鈑金工房　ＲＹＯＫＡ
坂田自動車鈑金工業所
有限会社　佐々木自動車鈑金塗装
（有）エスモード
ＲＥＢＯＯＴ　ＴＩＰＯ
（有）赤羽自動車鈑金所
（株）石岡自動車工業所
有限会社　ニワ
ＷＯＲＫＥＲ　ワーカー
（株）オートボディ菅原
カーコンビニ倶楽部　エムワイオート林店　「車検の速太郎」海老名店
オートリペア　イナトミ
江戸川鈑金有限会社
ＳＯＬ　ｇａｒａｇｅ
榎本自動車工業有限会社
Ｋ－ＧＲＡＮＺ
三洋自動車　有限会社
Ｂｏｓｃｈ　Ｃａｒ　Ｓｅｒｖｉｃｅ　Ｂ．Ｍ．Ｃサービス（株）
フラット７南足柄　有限会社三橋自動車
有限会社　加藤自動車整備工場
（有）中部八洲自動車
三幸興業（株）
車検のコバック　水戸吉田店
車検のコバック　Ｒ６号取手店
ＶＥＲＴＥＸ　ＧＡＲＡＧＥ
ＡＵＴＯ　ＰＩＥＣＥ
有限会社　飯嶋自動車
カーファクトリー　ピッツーラ
カーランド　ココイル
日米ユナイテッド株式会社　Ｄｒ．Ｄｒｉｖｅ岡山バイパス店
株式会社ガレージアウトストラーダ
（株）シンフォニーステーション
（有）オートクリニック
ツイルオートサービス
中古車卸売センター　（有）オフィスナカジマ
（有）秋津自動車
スカイガレージ
あべまつ自動車販売有限会社
望月自動車
有限会社　松本自動車鈑金塗装
株式会社　南黒自動車商会
日州自動車鈑金塗装
新車市場形原店　竹島鈑金株式会社
株式会社　クエスト
ＡＲＹオートリペア
輸入車専門店　ＦＲＯＤＥ
有限会社　エスティーファクトリー【各損害保険会社指定修理工場】
Ｗｅｌｌ　Ｖｉｌｌａｇｅ　ウェルヴィレッジ
ＦＲＯＮＴＩＥＲ　株式会社
（株）エムアンドワイＣＡＲシステム
ガレージムラヤマ
ペイントハウスモローズ
池上鈑金　リトラス
Ａｕｔｒａｄｅ　ＮＳＤ
ＣＡＲ　ＰＬＡＮ　ＫＮ　Ｋ・Ｎ株式会社
（株）トミナガ自動車工業
株式会社アウトフロイデ
ツイヒジ自動車鈑金塗装
セレクトショップリバイブ　（株）ルート
株式会社ＬＵＣＫ　ＲＩＣＥ　ラックライス
ＢＯＤＹ　ＲＥＰＡＩＲ　ＦＩＸ
Ａｌｌｕｒｅ
有限会社　竹内オートサービス
軽スタジオ大蔵谷
株式会社　浜崎自動車
ＮＥＷ　ＰＲＯＤＵＣＴ－ニュープロダクト－
武山自動車
株式会社　ラックス
株式会社オートタウン犬山　犬山店【愛知・犬山】　新車／中古車販売　スズキ・ダイ…
有限会社　リバティーオート
株式会社　ＢｅＷｏｒｋｓ
有限会社　須田自動車
株式会社　クルマフィクス
株式会社ＭＳＩ
イーウイング
カーギルド
有限会社　オートボディオクダ
有限会社　長谷川自動車
ＴＡＸ高崎店　トレイターズ　
車検の速太郎　茂原店
ｎｅｘｔ．ｉｍｐｏｒｔ
株式会社　ＫＳＰ　ケイ・エス・ピー
ＯＫＡオートサービス
有限会社　カービックＢＰ
畑山自動車塗装株式会社
エムケーオート
Ａｕｔｏ　ｇａｒａｇｅ　セキヤ　オートガレージセキヤ
ガレージ　タニモト
